Battletag,Paragon,Rank,Rift level,Time,Completed on
Arthur#1143,2369,125,120,794983,2019-02-23
ŖockeŧSůrgœn#1235,3451,126,120,796132,2019-03-12
DrAccO#1394,1893,127,120,804050,2019-03-31
OxyKostis#1308,2742,128,120,805632,2019-03-15
electricgrid#1390,3300,129,120,808216,2019-03-17
BrazukaMJS#1522,2992,130,120,808466,2019-04-07
Brindlebriar#1946,1993,131,120,808849,2019-03-01
NuHuo#1174,3528,132,120,809016,2019-04-06
xraphael#11481,3915,133,120,810533,2019-03-30
fub51n#1891,2612,134,120,811866,2019-04-07
CyPhaR#1911,2335,135,120,813449,2019-03-06
笨蛋之血#3485,3051,136,120,814366,2019-03-10
ShimadaMcMei#1619,3163,137,120,821500,2019-03-03
Goodlife#1247,1664,138,120,822182,2019-03-30
Disturbed#1723,2972,139,120,822499,2019-03-11
UnreaL#1893,2856,140,120,826250,2019-03-10
ChampX#11880,1666,141,120,828000,2019-02-14
Bugos#1301,2103,142,120,830883,2019-02-23
VayneHelsing#11195,2975,143,120,831416,2019-03-14
Druify#1975,3191,144,120,832282,2019-04-03
YGGOF#1673,3040,145,120,833300,2019-03-01
KoisaMandada#1488,1890,146,120,835733,2019-02-24
YFL#11325,2403,147,120,837366,2019-02-28
Shane#13465,3245,148,120,842383,2019-03-24
DarkHunter#1433,1738,149,120,844566,2019-03-03
PuLGa#1373,2824,150,120,845382,2019-03-13
MissMisery#11117,3488,151,120,845683,2019-03-29
Darko#1960,1789,152,120,847900,2019-02-06
loongtim#1985,2192,153,120,848516,2019-04-04
Defiance#1272,2263,154,120,848966,2019-03-28
Jin#1833,1985,155,120,849400,2019-03-15
hyck#1185,1694,156,120,849516,2019-02-16
AwkAsian#11960,2871,157,120,850782,2019-03-05
yii#1480,3020,158,120,850899,2019-03-15
JcPotato#1321,2022,159,120,851483,2019-03-25
Constantine#12894,2394,160,120,851866,2019-02-13
Dredswich#1835,2593,161,120,852333,2019-03-31
Devil#1223,2741,162,120,852900,2019-03-05
nada808#1685,2944,163,120,853650,2019-02-20
aoikaze#3648,2505,164,120,854150,2019-03-11
BirdBoy#1171,3189,165,120,855949,2019-04-05
MrSwag#1943,2592,166,120,857166,2019-03-31
IBoilerUp#1108,2645,167,120,858150,2019-04-08
有夠學校#3219,2229,168,120,859933,2019-03-12
GEDROKS#2924,2771,169,120,860199,2019-04-04
Tee#11103,1878,170,120,864366,2019-02-25
NANOSC#1273,2248,171,120,864483,2019-04-02
Daytona#4570,3744,172,120,865066,2019-04-06
FANTOMAS#11964,1947,173,120,865699,2019-03-17
Fuzzy#12814,2802,174,120,866399,2019-04-04
愛打麻將的小飛俠#4758,2290,175,120,866916,2019-04-07
Mirovisk#11925,2588,176,120,867866,2019-03-25
KimiDany#6405,2728,177,120,868399,2019-03-29
spoon#1914,2915,178,120,868433,2019-03-23
Nightwalka#1576,2486,179,120,869649,2019-03-26
Dominu728#1824,2324,180,120,869683,2019-03-31
Haruka#1828,2284,181,120,869916,2019-03-10
DrewB#11855,2063,182,120,870133,2019-03-07
Metro#6819,3080,183,120,871533,2019-03-30
Slivex#1693,2187,184,120,873566,2019-03-31
LucKyStriKes#1414,2049,185,120,873900,2019-03-10
SilentSword#14404,1884,186,120,874166,2019-02-15
mervz0891#6648,2338,187,120,874166,2019-03-29
anhei3#1851,2211,188,120,874500,2019-03-22
Tukkano#1596,2827,189,120,874933,2019-04-03
L3gg0oz3#1420,3284,190,120,876299,2019-03-15
DoDo#1340,3434,191,120,880333,2019-04-06
ElSandwich#1739,1634,192,120,880383,2019-03-18
ShawnSDawson#1625,2354,193,120,880416,2019-04-05
RICCEE#1980,3352,194,120,880999,2019-03-29
Legendz#1896,2299,195,120,881900,2019-03-28
HamaBama#1238,3581,196,120,882483,2019-03-23
SneakySquid#1110624,2461,197,120,883499,2019-02-16
Sloggin#1402,1892,198,120,883833,2019-03-07
AteamQc#1325,2960,199,120,884900,2019-03-27
JuFelinae#1756,3088,200,120,886799,2019-03-12
Djumper#1325,2144,201,120,887550,2019-04-07
yellowall2#1599,1702,202,120,887616,2019-02-19
Diablo3#1587,2974,203,120,888183,2019-03-28
umae#1936,1892,204,120,888449,2019-03-05
Sandoo#3923,2266,205,120,888616,2019-03-16
scuzzlebutt#1428,2176,206,120,889466,2019-02-25
MillsSniper#1515,2017,207,120,889732,2019-02-27
kailu#11349,1591,208,120,890733,2019-02-10
軒軒#3872,3600,209,120,891616,2019-04-02
Spiras#1640,2391,210,120,891866,2019-03-07
shadowwolf#12485,2266,211,120,891949,2019-03-21
ALWAYS#3834,2366,212,120,892750,2019-03-26
Mad#23118,2751,213,120,893000,2019-03-31
JIFFAJAX#6862,2829,214,120,893066,2019-03-28
WARCHILD#1485,2109,215,120,895782,2019-04-05
WWallace#1378,1875,216,120,896783,2019-03-15
Scrib#1469,3908,217,120,897050,2019-03-30
dixierekt#11141,1756,218,120,897349,2019-03-01
Eather#1333,2403,219,120,898699,2019-03-18
FlyingTurd#1336,2771,220,120,898816,2019-03-09
Sirness#1469,2010,221,120,898866,2019-02-21
PePin#1295,2462,222,120,898900,2019-02-24
AzureWrath#1908,2990,223,120,899066,2019-03-22
MEGALODON#11428,2737,224,120,899350,2019-03-24
Alex#11739,3404,225,119,692032,2019-03-29
Laurcus#1712,2777,226,119,700183,2019-03-29
TokiWartooth#1484,2882,227,119,707216,2019-03-07
BearHugger#11464,2406,228,119,724816,2019-03-03
iTs420#11398,3903,229,119,728166,2019-03-31
dida#11821,3450,230,119,745700,2019-04-01
DaVice#11706,1839,231,119,750716,2019-03-24
elni#1865,2258,232,119,752933,2019-04-03
Bluntastic#1529,2893,233,119,757000,2019-03-27
Crazybugger#1152,2511,234,119,766083,2019-03-25
PhillipZ#1494,2506,235,119,779650,2019-02-08
megalan#1955,2896,236,119,780950,2019-03-31
Domnu#1619,2497,237,119,788749,2019-03-14
carlosnouel#1572,1609,238,119,789649,2019-03-08
EVOLUTION562#1373,1597,239,119,792182,2019-03-21
Kendrin#11365,1846,240,119,792933,2019-02-14
TANDT#1135,1989,241,119,796750,2019-04-05
Bigdan#1778,3156,242,119,798099,2019-04-05
SQUIRREL#12873,2269,243,119,800399,2019-04-07
apeach#11645,2574,244,119,802466,2019-03-01
Sliffer#11467,1671,245,119,807983,2019-02-12
Zeto#1897,2744,246,119,811233,2019-04-07
BravoA#1734,3966,247,119,817433,2019-04-07
Zen#1980,2522,248,119,817816,2019-02-22
DukeJim#1652,2138,249,119,819050,2019-04-07
Lockhart#1844,2280,250,119,819466,2019-03-25
thetabop#6653,1741,251,119,820350,2019-03-14
TOMKAT#1985,2638,252,119,823166,2019-03-23
Vukyun#1139,2578,253,119,824083,2019-03-19
zak#1332,1864,254,119,825433,2019-04-03
ciphz#1869,2293,255,119,829466,2019-03-28
Franky#1578,1901,256,119,829500,2019-03-06
Tubby#1835,3125,257,119,829816,2019-03-27
aixu01#1436,2821,258,119,830433,2019-04-06
TrinityForce#1162,2505,259,119,830816,2019-03-13
Thetvar#1129,3072,260,119,831699,2019-03-10
Sinila#1902,1926,261,119,833116,2019-02-20
Blochh#1617,1453,262,119,840383,2019-03-10
Mosh#1484,2289,263,119,841983,2019-03-14
XxKenZxX#1101,2804,264,119,843266,2019-03-07
Rash#1170,2340,265,119,844450,2019-03-11
Matakitas#6146,1808,266,119,848750,2019-03-13
Plob#1436,2255,267,119,850500,2019-02-27
paradox#1643,1910,268,119,851316,2019-03-24
Luhendriks#1513,1872,269,119,853133,2019-03-26
Kurgan#2637,1724,270,119,853749,2019-02-24
karma#1735,2026,271,119,853766,2019-02-24
TNguyen42#1989,2230,272,119,853883,2019-03-19
rev3energy#1436,1454,273,119,854883,2019-02-05
Shiva#11915,2537,274,119,855616,2019-03-22
Dongzilla#1919,2217,275,119,855949,2019-03-02
Shirakawa#6871,3495,276,119,856966,2019-04-04
Wingard#1678,2257,277,119,858133,2019-03-14
GetDarker#2172,2658,278,119,859916,2019-03-02
kira15k#1562,3156,279,119,861116,2019-04-06
Mustafa#1768,1782,280,119,862233,2019-02-24
ChillyDeath#1348,1745,281,119,862383,2019-03-03
Jewels#1256,1719,282,119,862882,2019-03-20
cheapjing#1340,1324,283,119,863432,2019-03-13
DVDMESTRE#1943,2306,284,119,864399,2019-04-01
越豁#3530,2009,285,119,866266,2019-04-04
DOA#1538,1847,286,119,866683,2019-03-02
Thanatos#1308,1501,287,119,867316,2019-02-28
Rodrigo#15702,2044,288,119,867382,2019-03-12
Kizzle#11874,2040,289,119,867665,2019-02-22
SaintJoeX#1736,2730,290,119,871699,2019-03-03
Moral#11132,1860,291,119,873166,2019-03-16
淡定紅茶#3511,1559,292,119,875283,2019-03-25
Thunderous#4581,1887,293,119,875349,2019-02-25
PartyD#1337,2769,294,119,875366,2019-03-16
vun#6435,2432,295,119,876233,2019-03-21
johnjinx#11453,2537,296,119,876333,2019-02-24
nyteskye#1725,1441,297,119,876716,2019-02-26
Mani0719#1866,1833,298,119,877833,2019-02-15
Shuugo#1252,1751,299,119,878266,2019-03-21
Nihonjin#1770,1950,300,119,880216,2019-03-29
LetsLoL#1438,1725,301,119,880383,2019-04-05
AllenRafael#1135,2004,302,119,880733,2019-02-28
FFPanda#1711,1846,303,119,881332,2019-03-19
Medz#1810,1763,304,119,881900,2019-03-02
doomed#1274,2676,305,119,882933,2019-03-24
Aim#11359,2624,306,119,884166,2019-03-02
GiantDwarf#11908,1852,307,119,884166,2019-03-17
Kevin#3167,2185,308,119,884800,2019-03-25
Will#12370,2040,309,119,885066,2019-04-07
rawDoughnuts#1793,1815,310,119,885499,2019-03-25
Reptile007#1858,1586,311,119,886083,2019-03-23
Nithrax#1255,1943,312,119,888066,2019-03-12
Harry#14340,1544,313,119,888683,2019-02-26
cybus#1334,1957,314,119,891050,2019-03-23
Zykath#1100,2475,315,119,891416,2019-04-06
legolasjpa#1598,1766,316,119,891616,2019-03-02
Zaabon#1628,2340,317,119,894082,2019-03-23
tigerclan#1195,1921,318,119,894216,2019-04-06
HarlemNights#1459,1685,319,119,895416,2019-03-10
jskim#1730,1596,320,119,896432,2019-04-03
Sab#12295,1708,321,119,897800,2019-03-10
Ladymanmandy#1121,2435,322,119,898966,2019-03-17
ProRex#1361,2210,323,119,899083,2019-03-31
emily#12118,2869,324,118,602083,2019-03-08
Pawa#1963,3642,325,118,608200,2019-04-07
FILTHYSNIZZ#1330,3685,326,118,652916,2019-04-06
lilpepsquish#1814,3654,327,118,682232,2019-03-31
Doxy#1989,2552,328,118,701782,2019-02-18
Brendon#1865,1579,329,118,702449,2019-02-18
TxMike#11147,2327,330,118,703716,2019-04-05
fier#1332,3188,331,118,723550,2019-03-20
yocodance#3487,2569,332,118,728750,2019-04-03
Lore#11473,1807,333,118,731716,2019-03-02
康斯坦丁#3887,2607,334,118,734466,2019-02-22
drizzt#1965,2668,335,118,737650,2019-03-10
